id,name,sku,barcode,description,price,stock_quantity,category_name
1,Imported LED Bulb,SKU-0001,1001001000001,Imported LED Bulb - A detailed description of the product.,41.88,23,Clothing
2,Imported Sugar,SKU-0002,1001001000002,Imported Sugar - A detailed description of the product.,20.14,229,Electronics
3,High-Quality Cola,SKU-0003,1001001000003,High-Quality Cola - A detailed description of the product.,49.14,441,Personal Care
4,Budget Coffee Powder,SKU-0004,1001001000004,Budget Coffee Powder - A detailed description of the product.,4.86,64,Stationery
5,Organic Orange Juice,SKU-0005,1001001000005,Organic Orange Juice - A detailed description of the product.,11.1,277,Stationery
6,Premium Office Chair,SKU-0006,1001001000006,Premium Office Chair - A detailed description of the product.,2.14,312,Furniture
7,High-Quality Cola,SKU-0007,1001001000007,High-Quality Cola - A detailed description of the product.,8.64,447,Electronics
8,High-Quality Hair Dryer,SKU-0008,1001001000008,High-Quality Hair Dryer - A detailed description of the product.,16.8,144,Beverages
9,High-Quality Notebook,SKU-0009,1001001000009,High-Quality Notebook - A detailed description of the product.,2.83,150,Electronics
10,Organic Butter,SKU-0010,1001001000010,Organic Butter - A detailed description of the product.,15.91,376,Groceries
11,Organic Hair Dryer,SKU-0011,1001001000011,Organic Hair Dryer - A detailed description of the product.,9.55,147,Home Essentials
12,High-Quality Kitchen Towel,SKU-0012,1001001000012,High-Quality Kitchen Towel - A detailed description of the product.,17.27,340,Electronics
13,Eco-friendly Floor Cleaner,SKU-0013,1001001000013,Eco-friendly Floor Cleaner - A detailed description of the product.,25.99,69,Electronics
14,Eco-friendly Orange Juice,SKU-0014,1001001000014,Eco-friendly Orange Juice - A detailed description of the product.,45.25,434,Stationery
15,Budget Batteries,SKU-0015,1001001000015,Budget Batteries - A detailed description of the product.,6.84,206,Groceries
16,Small Milk,SKU-0016,1001001000016,Small Milk - A detailed description of the product.,44.47,25,Clothing
17,Large Body Wash,SKU-0017,1001001000017,Large Body Wash - A detailed description of the product.,14.97,52,Toys
18,High-Quality Chocolate Bar,SKU-0018,1001001000018,High-Quality Chocolate Bar - A detailed description of the product.,21.92,391,Toys
19,Eco-friendly Desk Lamp,SKU-0019,1001001000019,Eco-friendly Desk Lamp - A detailed description of the product.,8.45,127,Groceries
20,Premium Milk,SKU-0020,1001001000020,Premium Milk - A detailed description of the product.,15.22,35,Personal Care
21,Eco-friendly Butter,SKU-0021,1001001000021,Eco-friendly Butter - A detailed description of the product.,32.43,194,Stationery
22,Large Coffee Powder,SKU-0022,1001001000022,Large Coffee Powder - A detailed description of the product.,29.65,296,Electronics
23,Imported Air Freshener,SKU-0023,1001001000023,Imported Air Freshener - A detailed description of the product.,46.73,432,Toys
24,Imported Bread,SKU-0024,1001001000024,Imported Bread - A detailed description of the product.,11.98,172,Groceries
25,Small Desk Lamp,SKU-0025,1001001000025,Small Desk Lamp - A detailed description of the product.,20.6,417,Toys
26,Premium Rice,SKU-0026,1001001000026,Premium Rice - A detailed description of the product.,25.03,92,Groceries
27,Premium Kitchen Towel,SKU-0027,1001001000027,Premium Kitchen Towel - A detailed description of the product.,38.45,461,Furniture
28,Eco-friendly Pack of Pens,SKU-0028,1001001000028,Eco-friendly Pack of Pens - A detailed description of the product.,11.71,418,Home Essentials
29,Budget Shampoo,SKU-0029,1001001000029,Budget Shampoo - A detailed description of the product.,31.63,32,Stationery
30,High-Quality Notebook,SKU-0030,1001001000030,High-Quality Notebook - A detailed description of the product.,43.15,402,Clothing
31,Budget USB Cable,SKU-0031,1001001000031,Budget USB Cable - A detailed description of the product.,29.03,320,Home Essentials
32,Large Energy Drink,SKU-0032,1001001000032,Large Energy Drink - A detailed description of the product.,9.33,40,Groceries
33,Imported Body Wash,SKU-0033,1001001000033,Imported Body Wash - A detailed description of the product.,16.99,363,Beverages
34,Budget Sugar,SKU-0034,1001001000034,Budget Sugar - A detailed description of the product.,31.12,473,Home Essentials
35,Imported Kitchen Towel,SKU-0035,1001001000035,Imported Kitchen Towel - A detailed description of the product.,21.96,387,Furniture
36,Premium Floor Cleaner,SKU-0036,1001001000036,Premium Floor Cleaner - A detailed description of the product.,39.28,277,Stationery
37,Eco-friendly Water Bottle,SKU-0037,1001001000037,Eco-friendly Water Bottle - A detailed description of the product.,28.83,122,Electronics
38,Organic Batteries,SKU-0038,1001001000038,Organic Batteries - A detailed description of the product.,3.29,408,Clothing
39,Premium Orange Juice,SKU-0039,1001001000039,Premium Orange Juice - A detailed description of the product.,19.51,51,Furniture
40,Organic Washing Powder,SKU-0040,1001001000040,Organic Washing Powder - A detailed description of the product.,36.08,266,Electronics
41,Eco-friendly Notebook,SKU-0041,1001001000041,Eco-friendly Notebook - A detailed description of the product.,32.94,216,Electronics
42,Organic Body Wash,SKU-0042,1001001000042,Organic Body Wash - A detailed description of the product.,6.96,252,Clothing
43,Eco-friendly Bread,SKU-0043,1001001000043,Eco-friendly Bread - A detailed description of the product.,15.78,49,Furniture
44,Small Cereal,SKU-0044,1001001000044,Small Cereal - A detailed description of the product.,47.57,195,Electronics
45,Budget Floor Cleaner,SKU-0045,1001001000045,Budget Floor Cleaner - A detailed description of the product.,31.03,457,Personal Care
46,Organic Batteries,SKU-0046,1001001000046,Organic Batteries - A detailed description of the product.,3.09,110,Beverages
47,Small Laptop Sleeve,SKU-0047,1001001000047,Small Laptop Sleeve - A detailed description of the product.,11.8,53,Clothing
48,Imported Water Bottle,SKU-0048,1001001000048,Imported Water Bottle - A detailed description of the product.,21.72,383,Beverages
49,Large LED Bulb,SKU-0049,1001001000049,Large LED Bulb - A detailed description of the product.,12.26,115,Beverages
50,Large Sugar,SKU-0050,1001001000050,Large Sugar - A detailed description of the product.,12.66,391,Groceries
51,Small Cereal,SKU-0051,1001001000051,Small Cereal - A detailed description of the product.,49.23,316,Home Essentials
52,Premium Energy Drink,SKU-0052,1001001000052,Premium Energy Drink - A detailed description of the product.,3.2,263,Groceries
53,Large Butter,SKU-0053,1001001000053,Large Butter - A detailed description of the product.,23.44,422,Clothing
54,Imported Rice,SKU-0054,1001001000054,Imported Rice - A detailed description of the product.,43.93,488,Electronics
55,High-Quality Washing Powder,SKU-0055,1001001000055,High-Quality Washing Powder - A detailed description of the product.,30.99,392,Beverages
56,Budget Notebook,SKU-0056,1001001000056,Budget Notebook - A detailed description of the product.,36.7,263,Toys
57,Budget Rice,SKU-0057,1001001000057,Budget Rice - A detailed description of the product.,15.1,418,Clothing
58,Large Milk,SKU-0058,1001001000058,Large Milk - A detailed description of the product.,34.0,390,Clothing
59,Budget Body Wash,SKU-0059,1001001000059,Budget Body Wash - A detailed description of the product.,27.15,463,Electronics
60,Eco-friendly USB Cable,SKU-0060,1001001000060,Eco-friendly USB Cable - A detailed description of the product.,18.02,279,Home Essentials
61,Large Toy Car,SKU-0061,1001001000061,Large Toy Car - A detailed description of the product.,27.11,259,Electronics
62,Budget Sugar,SKU-0062,1001001000062,Budget Sugar - A detailed description of the product.,20.14,135,Beverages
63,Small Chocolate Bar,SKU-0063,1001001000063,Small Chocolate Bar - A detailed description of the product.,42.3,254,Toys
64,Budget Water Bottle,SKU-0064,1001001000064,Budget Water Bottle - A detailed description of the product.,39.06,427,Home Essentials
65,Premium Toy Car,SKU-0065,1001001000065,Premium Toy Car - A detailed description of the product.,47.11,410,Personal Care
66,High-Quality Orange Juice,SKU-0066,1001001000066,High-Quality Orange Juice - A detailed description of the product.,24.68,194,Clothing
67,Imported Notebook,SKU-0067,1001001000067,Imported Notebook - A detailed description of the product.,48.38,188,Toys
68,High-Quality Milk,SKU-0068,1001001000068,High-Quality Milk - A detailed description of the product.,41.83,323,Beverages
69,High-Quality Bread,SKU-0069,1001001000069,High-Quality Bread - A detailed description of the product.,10.22,237,Groceries
70,Budget Floor Cleaner,SKU-0070,1001001000070,Budget Floor Cleaner - A detailed description of the product.,5.58,242,Home Essentials
71,Budget Office Chair,SKU-0071,1001001000071,Budget Office Chair - A detailed description of the product.,29.86,231,Stationery
72,Organic Milk,SKU-0072,1001001000072,Organic Milk - A detailed description of the product.,32.57,173,Groceries
73,Imported Batteries,SKU-0073,1001001000073,Imported Batteries - A detailed description of the product.,41.32,325,Home Essentials
74,Premium Air Freshener,SKU-0074,1001001000074,Premium Air Freshener - A detailed description of the product.,8.32,475,Stationery
75,Premium Cola,SKU-0075,1001001000075,Premium Cola - A detailed description of the product.,8.44,440,Beverages
76,Large Rice,SKU-0076,1001001000076,Large Rice - A detailed description of the product.,17.06,185,Beverages
77,High-Quality Energy Drink,SKU-0077,1001001000077,High-Quality Energy Drink - A detailed description of the product.,43.65,393,Clothing
78,Small Office Chair,SKU-0078,1001001000078,Small Office Chair - A detailed description of the product.,1.22,429,Home Essentials
79,Large Air Freshener,SKU-0079,1001001000079,Large Air Freshener - A detailed description of the product.,17.95,458,Personal Care
80,Premium Butter,SKU-0080,1001001000080,Premium Butter - A detailed description of the product.,34.51,407,Electronics
81,High-Quality Chocolate Bar,SKU-0081,1001001000081,High-Quality Chocolate Bar - A detailed description of the product.,25.01,82,Furniture
